timestamp,tweet_text,username,all_hashtags,followers_count,favorite_count,retweets_count,length_of_tweet
2020-06-22 17:33:09,"b'In #India buying a particular brand of #motorcycle is easy, manufacturing to financing, all taken care of within the group itself. Likewise, #airlines too must adapt-from creating capacity to financing for better utilisation &amp; higher profitabilityhttps://t.co/gyLcZlVc90'",b'muralibulusu',"['India', 'motorcycle', 'airlines']",564,0,0,274
2020-06-22 17:32:36,"b""@TarekFatah Phone manufacturer #Apple  always design in California, USA.Has been assembling in India since 2017 and not in any other country. This is being done by Modi ji's\xf0\x9f\x87\xae\xf0\x9f\x87\xb3 #MakeinIndia.@narendramodi \xf0\x9f\x99\x8f#India #BoycottMadeInChina https://t.co/MRbEoVk1ZD""",b'SIDDHANTSH7340',"['Apple', 'MakeinIndia', 'India', 'BoycottMadeInChina']",30,0,0,263
2020-06-22 17:32:35,"b'@kaashivishal @Yilzdrim1389 @harismian @CNPakWW Yes, we are proud of Bangladesh. and everyone has to be progressive not like #Endians who are doing war all the time and try to take revenge of Mughals from Kashmiri Muslims.  Current petrol prices #Pakistan vs #IndiaA big masterstroke by #MODI https://t.co/ogleiUZea4'",b'ToddHedger',"['Endians', 'Pakistan', 'India', 'MODI']",69,0,0,316
2020-06-22 17:31:11,"b'HC directs State to carry out raids on Chemists and Manufacturers to check overpricing, poor quality of sanitizers, masks#Law #Latest #LatestLaws #LegalNews #India #IndianNews #News #Legal #HighCourt #Chemistry #mask #sanitizer https://t.co/8ia0W8wjqL'",b'latestlaws',"['Law', 'Latest', 'LatestLaws', 'LegalNews', 'India', 'IndianNews', 'News', 'Legal', 'HighCourt', 'Chemistry', 'mask', 'sanitizer']",12032,2,0,251
2020-06-22 17:31:07,b'@manojchakravort @partikva #USA who is using #India nowadays for their own benefit Listen they are not going to help #India at any costSee the history what they did with their close ally #Pakistan',b'JoshiBhintuna',"['USA', 'India', 'India', 'Pakistan']",6,0,0,196
2020-06-22 17:31:04,b'@Vivek_Investor He should also consider buying Pubg; lot of my friends have uninstalled it due to its Chinese origin. They are even ready to pay monthly charge if some Indian company acquire it or create a game like it.#AmbanibuyPubg#India#PUBGMOBILE#PUBG#AtmaNirbharBharat',b'shubhampathakk',"['AmbanibuyPubg', 'India', 'PUBGMOBILE', 'PUBG', 'AtmaNirbharBharat']",50,0,0,273
2020-06-22 17:30:58,"b'WWDC-2020 nothing new again, all features in iOS14 are seen in android the only presentation is new. Disappointed again \xf0\x9f\x98\x92.  Noting for #india again FYI we are 1.3 billion people. Fully disappointed with @Apple. #NotingForIndiaInWWDC2020 #WWDC2020 #MissingSteveJobs #SteveJobs'",b'_itentrepreneur',"['india', 'NotingForIndiaInWWDC2020', 'WWDC2020', 'MissingSteveJobs', 'SteveJobs']",14,0,0,278
2020-06-22 17:30:56,b'Download our app from google play store for more news and infotainment update.App Link - https://t.co/2s1IAfrJ9I#dailyflash #new #hunt #daily #paperboy #ndtv #Hutch #india #ananda #avp #newspaper #kval #engaget #drudge #dealnews #6abc #etv #region #gizmodo https://t.co/IKId9OW4XE',b'DailyFlash1',"['dailyflash', 'new', 'hunt', 'daily', 'paperboy', 'ndtv', 'Hutch', 'india', 'ananda', 'avp', 'newspaper', 'kval', 'engaget', 'drudge', 'dealnews', '6abc', 'etv', 'region', 'gizmodo']",4,0,0,280
2020-06-22 17:30:50,"b'@globaltimesnews #china gifted CORONA to the whole world.#INDIA gifted YOGA to the whole world.Difference is in basic of life &amp; culture. #china wants to kill the world &amp; #India meditate the world.#China captures others territory, #India help other to establish democracy &amp; rights #chinafears'",b'bharath_53',"['china', 'INDIA', 'china', 'India', 'China', 'India', 'chinafears']",21,0,0,303
2020-06-22 17:30:47,"b'BREAKING :: The British High Commission has confirmed that UK VACs in #India have today resumed passport deliveries for student, work, visitor &amp; other visa applicants whose decisions have been made.#intled #highered #studyinuk #ukvisa #psw #ukvac #tier4https://t.co/804MJjUTmB'",b'GlobalEdTimes',"['India', 'intled', 'highered', 'studyinuk', 'ukvisa', 'psw', 'ukvac', 'tier4']",294,0,0,280
2020-06-22 17:30:37,"b""Trader's body CAIT has urged commerce and industry minister @PiyushGoyal to make it mandatory for every e commers portal to mention \xe2\x80\x98Country of Origin\xe2\x80\x99  on each products sold at their platform. #BoycottChineseProducts #BoycottMadeInChina #India https://t.co/4wNXz8JKPb""",b'imPitabas25',"['BoycottChineseProducts', 'BoycottMadeInChina', 'India']",43,0,0,272
2020-06-22 17:30:32,"b'#rainforestday but every years we know big fires(#australia), rainforest destroyed (#Brasil), killing wildlife animals(#India), pollution the rivers (#Russia), hot temperature (#Artic) and... We need to fight for our #earth. #savetheplanet'",b'm_Teolly',"['rainforestday', 'australia', 'Brasil', 'India', 'Russia', 'Artic', 'earth', 'savetheplanet']",68,0,0,239
2020-06-22 17:30:02,b'#Russia: Defence Minister Rajnath Singh reached Moscow this evening on a three-day visit. Minister will hold talks on ways to further deepen the #India-Russia defence and strategic partnership. He will also attend the 75th Victory Day Parade in #Moscow. https://t.co/YdqyAxx9Qw',b'AmgepM',"['Russia', 'India', 'Moscow']",16,14,7,277
2020-06-22 17:30:00,"b""#India's recent moves to heat up confrontation with China were largely for political reasons; any further escalation would be a suicide path for India\xe2\x80\x99s economic development: expert https://t.co/uUigYyLOJZ""",b'GlobalTimesBiz',['India'],12312,0,0,207
2020-06-22 17:30:00,b'#Equity #Markets #India \xf0\x9f\x87\xae\xf0\x9f\x87\xb3 Investment Ideas #equityin @equityin https://t.co/8jZ4aWxuF0',b'equityin',"['Equity', 'Markets', 'India', 'equityin']",1804,0,0,93
2020-06-22 17:30:00,"b""#India's coronavirus caseload skyrocketed by a record 15,000 as migrant workers left major cities and returned to rural villages.  https://t.co/jiQ2v4yJfW""",b'Saudi_Gazette',['India'],159048,10,4,154
